date,month,numerator,denominator,calc_value,name,type
2019-04-01,0,5068,9342,0.5424962534789124,Basildon,Speed limit
2019-05-01,1,5401,9908,0.5451150585385547,Basildon,Speed limit
2019-06-01,2,4769,8923,0.5344615039784826,Basildon,Speed limit
2019-07-01,3,5193,9675,0.5367441860465116,Basildon,Speed limit
2019-08-01,4,5457,10190,0.5355250245338568,Basildon,Speed limit
2019-09-01,5,5599,10373,0.5397667020148462,Basildon,Speed limit
2019-10-01,6,5936,10824,0.5484109386548411,Basildon,Speed limit
2019-11-01,7,5746,10549,0.544696179732676,Basildon,Speed limit
2019-12-01,8,6133,11129,0.5510827567616138,Basildon,Speed limit
2020-01-01,9,5951,10886,0.5466654418519199,Basildon,Speed limit
2020-02-01,10,5130,9544,0.5375104777870914,Basildon,Speed limit
2020-03-01,11,7661,13713,0.5586669583606797,Basildon,Speed limit
2020-04-01,12,6187,11482,0.5388434070719387,Basildon,Speed limit
2020-05-01,13,5332,10241,0.5206522800507762,Basildon,Speed limit
2020-06-01,14,5206,10019,0.5196127358019762,Basildon,Speed limit
2020-07-01,15,5181,9986,0.5188263568996595,Basildon,Speed limit
2020-08-01,16,4759,9044,0.5262052189296771,Basildon,Speed limit
2020-09-01,17,5365,10231,0.5243866679698954,Basildon,Speed limit
2020-10-01,18,5204,9877,0.5268806317707806,Basildon,Speed limit
2020-11-01,19,5210,10006,0.5206875874475315,Basildon,Speed limit
2020-12-01,20,5424,10279,0.5276777896682556,Basildon,Speed limit
2021-01-01,21,5355,10340,0.5178916827852998,Basildon,Speed limit
2021-02-01,22,4604,8924,0.5159121470192739,Basildon,Speed limit
2021-03-01,23,4874,9493,0.5134309491204045,Basildon,Speed limit
2021-04-01,24,5072,9846,0.5151330489538899,Basildon,Speed limit
2021-05-01,25,4510,8756,0.5150753768844221,Basildon,Speed limit
2021-06-01,26,5398,10247,0.5267883282912071,Basildon,Speed limit
2021-07-01,27,5232,10116,0.5172004744958482,Basildon,Speed limit
2021-08-01,28,4623,9003,0.5134955014995002,Basildon,Speed limit
2021-09-01,29,5297,10055,0.5268025857782198,Basildon,Speed limit
2021-10-01,30,5089,9664,0.5265935430463576,Basildon,Speed limit
2021-11-01,31,5312,10122,0.5247974708555622,Basildon,Speed limit
2021-12-01,32,5295,10106,0.5239461705917277,Basildon,Speed limit
2022-01-01,33,5336,10300,0.5180582524271845,Basildon,Speed limit
2022-02-01,34,4318,8410,0.513436385255648,Basildon,Speed limit
2022-03-01,35,5461,10437,0.5232346459710645,Basildon,Speed limit
2022-04-01,36,4506,8669,0.5197831353097243,Basildon,Speed limit
2022-05-01,37,4957,9598,0.516461762867264,Basildon,Speed limit
2022-06-01,38,5084,9866,0.5153050881816339,Basildon,Speed limit
2022-07-01,39,4592,8899,0.5160130351724913,Basildon,Speed limit
2022-08-01,40,4404,9132,0.48226018396846254,Basildon,Speed limit
2022-09-01,41,4207,8594,0.48952757737956715,Basildon,Speed limit
2022-10-01,42,4609,9468,0.48679763413603716,Basildon,Speed limit
2022-11-01,43,4194,8587,0.48841271689763593,Basildon,Speed limit
